Input Query,Type,Response 0.5 threshold,Correct (Leslie-as-judge) 1-5 (5 is best),Response 0.65 threshold,Correct (Leslie-as-judge) 1-5 (5 is best)
What are the courses that I take in this program?,AIPI,"The course covers the following topics: 1. Train a NN from scratch in NumPy and then in PyTorch 2. Implement 2D and 3D multi-object detection and segmentation 3. Generate digits and DeepFakes with autoencoders and GANs 4. Manipulate images using CycleGAN, Pix2PixGAN, StyleGAN2, and SRGAN 5. Combine CV with natural language processing to perform OCR, image captioning, and object detection",2,"The Duke University Master's in Artificial Intelligence program is a 12-month program that includes 3 semesters and a summer session. The program includes courses in artificial intelligence, machine learning, and product innovation.",2
What are the courses that I take in the AIPI program?,AIPI,"AIPI students take a fixed set of 4 courses in Fall semester (AIPI 510,520,530 and MENG 570). AIPI Online students typically take 2 courses per semester (Fall: AIPI 510,520) and AIPI Certificate students take 1 course/semester (Fall: AIPI 510). Online students pay tuition on a per-credit basis rather than a flat-rate per-semester basis.",4,"AIPI students take a fixed set of 4 courses in Fall semester (AIPI 510,520,530 and MENG 570). AIPI Online students typically take 2 courses per semester (Fall: AIPI 510,520) and AIPI Certificate students take 1 course/semester (Fall: AIPI 510). Online students pay tuition on a per-credit basis rather than a flat-rate per-semester basis.",4
What about the courses for the spring semester?,AIPI,"The spring semester is starting on April 8th. There are many courses available for students to choose from. The courses are divided into different categories such as art, design, and technology. The courses are also available in different formats such as online and in-person. The courses are taught by experienced instructors who are experts in their fields. The courses are designed to provide students with the skills and knowledge they need to succeed in their careers. The courses are also affordable and accessible to all students. The courses are also available in different languages such as English, Spanish, and French. The courses are also available in different formats such as online and in-person. The courses are also available in different formats such as online and in-person. The courses are also available in different formats such as online and in-person. The courses are also available in different formats such as online and in-person. The courses are also available in different formats such as online and in-person. The courses are also available in different formats such as online and in-person. The courses are also available in different formats such as online and in-person. The courses are also available in different formats such as online and in-person. The courses are also available in different formats such as",1,"The following are the courses for the spring semester for the Duke University Master's in Artificial Intelligence program: COMPSCI 101, 201, 210, 230, 250, and 330 are offered every semester. 370D - Introduction to Artificial Intelligence | Songdechakraiwut; 391 - Independent Study in Computer Science | Songdechakraiwut; 401 - Introduction to Machine Learning | Songdechakraiwut; 402 - Machine Learning for Natural Language Processing | Songdechakraiwut; 403 - Machine Learning for Computer Vision | Songdechakraiwut; 404 - Machine Learning for Speech and Audio | Songdechakraiwut; 405 - Machine Learning for Robotics | Songdechakraiwut; 406 - Machine Learning for Games | Songdechakraiwut; 407 - Machine Learning for Recommender Systems | Songdechakraiwut; 408 -",1
What courses does AIPI offer in the Spring?,AIPI,"In the Spring semester of the AIPI program students take a fixed schedule of courses (electives are taken in the Fall). Students should plan to register for the following courses: - AIPI 503: Bootcamp [0 units] (On-campus, Online MEng, Online Certificate students) - AIPI 510: Sourcing Data for Analytics [3 units] (On-campus, Online MEng, Online Certificate students) - AIPI 520: Modeling Process & Algorithms [3 units] (On-campus & Online MEng students) - AIPI 530: AI in Practice [3 units] (On-campus students) - MENG 570: Business Fundamentals for Engineers [3 units] (On-campus students completing in 12 months) - AIPI 501: Industry Seminar Series [0 units] (On-campus & Online MEng students) The full list of Pratt courses will be made available to students on June, when shopping carts open in DukeHub. 2. Academics",3,"In the Spring semester of the AIPI program students take a fixed schedule of courses (electives are taken in the Fall). Students should plan to register for the following courses: - AIPI 503: Bootcamp [0 units] (On-campus, Online MEng, Online Certificate students) - AIPI 510: Sourcing Data for Analytics [3 units] (On-campus, Online MEng, Online Certificate students) - AIPI 520: Modeling Process & Algorithms [3 units] (On-campus & Online MEng students) - AIPI 530: AI in Practice [3 units] (On-campus students) - MENG 570: Business Fundamentals for Engineers [3 units] (On-campus students completing in 12 months) - AIPI 501: Industry Seminar Series [0 units] (On-campus & Online MEng students) The full list of Pratt courses will be made available to students on June, when shopping carts open in DukeHub. 2. Academics",3
How long does it take to complete the program?,AIPI,The program is 12 months long.,2,The Duke University Master's in Artificial Intelligence program is a 12-month program. Students will take 3 courses per semester and a summer session. The program is designed to teach students how to apply AI and ML for powerful results in any field. Students will work in teams of 3-5 to complete a Machine Learning/Artificial Intelligence project for a company sponsor around a real-world problem or opportunity they are facing.,3
How long does it take to graduate from the AIPI program?,AIPI,The AIPI program is a 12 month program. Students start in the Fall and graduate the following Fall. The program is a full time program. Students are expected to be on campus for the entire program. The program is a combination of coursework and project work. Students are expected to work on a project with a company during the program. The program is a combination of coursework and project work. Students are expected to work on a project with a company during the program. The program is a combination of coursework and project work. Students are expected to work on a project with a company during the program. The program is a combination of coursework and project work. Students are expected to work on a project with a company during the program. The program is a combination of coursework and project work. Students are expected to work on a project with a company during the program. The program is a combination of coursework and project work. Students are expected to work on a project with a company during the program. The program is a combination of coursework and project work. Students are expected to work on a project with a company during the program. The program is a combination,2,The AIPI program is a 12 month program. Students start in the Fall and graduate the following Fall. The program is a full time program. Students are expected to be on campus for the entire program. The program is a combination of coursework and project work. Students are expected to work on a project with a company during the program. The program is a combination of coursework and project work. Students are expected to work on a project with a company during the program. The program is a combination of coursework and project work. Students are expected to work on a project with a company during the program. The program is a combination of coursework and project work. Students are expected to work on a project with a company during the program. The program is a combination of coursework and project work. Students are expected to work on a project with a company during the program. The program is a combination of coursework and project work. Students are expected to work on a project with a company during the program. The program is a combination of coursework and project work. Students are expected to work on a project with a company during the program. The program is a combination,2
Tell me about being a 4+1 in the AIPI program?,AIPI,The AIPI program is a 4+1 program. This means that you will spend 4 semesters in the program and then you will spend 1 semester doing an internship. The internship is a requirement for the program. The internship is a great way to apply what you have learned in the program and to get real world experience. The internship is also a great way to network and to make connections in the industry. The internship is a great way to get a job after you graduate from the program. The internship is a great way to learn about the industry and to get a feel for what it is like to work in the industry. The internship is a great way to learn about the industry and to get a feel for what it is like to work in the industry. The internship is a great way to learn about the industry and to get a feel for what it is like to work in the industry. The internship is a great way to learn about the industry and to get a feel for what it is like to work in the industry. The internship is a great way to learn about the industry and to get a feel for what it is like to work,1,The AIPI program is a 4+1 program. This means that you will spend 4 semesters in the program and then you will spend 1 semester doing an internship. The internship is a requirement for the program. The internship is a great way to apply what you have learned in the program and to get real world experience. The internship is also a great way to network and to make connections in the industry. The internship is a great way to get a job after you graduate from the program. The internship is a great way to learn about the industry and to get a feel for what it is like to work in the industry. The internship is a great way to learn about the industry and to get a feel for what it is like to work in the industry. The internship is a great way to learn about the industry and to get a feel for what it is like to work in the industry. The internship is a great way to learn about the industry and to get a feel for what it is like to work in the industry. The internship is a great way to learn about the industry and to get a feel for what it is like to work,1
Tell me about the program faculty,AIPI,"The Duke Artificial Intelligence for Product Innovation (AIPI) Masters's program has a faculty of 14 members. The faculty includes Jon Reifschneider, Brinnae Bent, Xu Chen, Alfredo Deza, Noah Gift, Wann-Jiun Ma, Pramod Singh, Natalia Summerville, Theodore Ryan, Richard Dean Telford, and Jeffrey D Ward.",4,"Jon Reifschneider is the Executive Director of Duke's Artificial Intelligence for Product Innovation Master's Program and teaches in it. Prior to joining the Duke faculty, Jon spent 15 years in management roles at data services and analytics companies. Most recently Jon ran the Weather Analytics division at the tech company DTN, where he and his team built a suite of AI-powered weather forecasting and decision support tools for the energy industry. Jon holds a Ph.D. in Atmospheric Science from the University of Washington and a B.S. in Meteorology from Penn State.",3
Who is the program director and what are their qualifications?,AIPI,The program director is Dr. David C. Parkes. He is a professor of computer science at Duke University.,1,"The program director for the Duke University Master's in Artificial Intelligence program is Dr. Michael Cunningham. Dr. Cunningham is a professor of the practice in the Department of Electrical and Computer Engineering at Duke University. He has a Ph.D. in Electrical Engineering from the University of California, Berkeley.",1
I am really interested in computer vision. What computer vision courses can I take?,AIPI,"You can take the Applied Computer Vision Course at Duke University. The course covers a wide range of topics in computer vision, including training neural networks, multi-object detection and segmentation, generating digits and DeepFakes, manipulating images using CycleGAN, Pix2PixGAN, StyleGAN2, and SRGAN, and combining CV with natural language processing. The course is graded based on attendance and participation in discussion, homework, and projects.",5,"You can take the Applied Computer Vision Course at Duke University. The course covers a wide range of topics in computer vision, including training neural networks, multi-object detection and segmentation, generating digits and DeepFakes, manipulating images using CycleGAN, Pix2PixGAN, StyleGAN2, and SRGAN, and combining CV with natural language processing. The course is graded based on attendance and participation in discussion, homework, and projects.",5
I am really interested in natural language processing. What NLP courses can I take?,AIPI,The course AIPI 590.01: Large Language Models for Generative AI is a great course to take if you are interested in natural language processing.,4,"Here are 10 of our most popular nlp courses. Natural Language Processing on Google Cloud: Google Cloud. Self-Driving Cars: University of Toronto. AI Workflow: Machine Learning, Visual Recognition and NLP: IBM. DevOps, DataOps, MLOps: Duke University. Spark, Hadoop, and Snowflake for Data Engineering: Duke University. Duke University. Graduate Bulletin Home About Student Resources... (APIs), preparing these data for analysis, applying modern natural language processing (NLP) techniques, parsing unstructured text using regular expressions implementing end-to-end NLP. Open only to Interdisciplinary Data Science students.... 2023-2024 Graduate School Bulletin. Natural language processing (NLP) is concerned with developing algorithms for intelligently handling natural (i.e., human) language. Major focuses include language understanding, as exemplified by systems that automatically answer questions about documents or extract other information from them, and language generation, as exemplified by systems that automatically generate translations or... ECE 684: Natural Language",2
What are the projects like for AIPI 540,AIPI,"The course projects for AIPI 540 are team-based and individual. The team-based projects are related to the modules of the course, and the individual project is related to any aspect of deep learning covered during the course.",3,"The course projects are divided into two parts: module projects and individual projects. Module projects are team-based projects that are completed during each module of the course. Individual projects are completed by each student over the course of the semester. Students can choose any of the six themes covered in the course (computer vision, NLP, recommendation systems, or tabular/structured data prediction) for their individual project. The project culminates in the development of a prototype interactive web or mobile application that runs on the cloud. In addition to the module and individual projects, students will also make a 5-10 minute video presentation on a relevant deep learning research paper of their choice. The objective of the presentation is to clearly convey the key novel methods or findings from the research paper in a manner that the rest of the class understands the ""so what"" of the paper.",4
What are the projects like for AIPI 520,AIPI,"The course includes significant hands-on team-based project work and an emphasis on self-discovery. The semester will be split into three core modules: computer vision, NLP, and recommendation systems. Each module will include lectures, assignments, a team project, and a review of recent research in the field.",2,"The course includes significant hands-on team-based project work and an emphasis on self-discovery. The semester will be split into three core modules: computer vision, NLP, and recommendation systems. Each module will include lectures, assignments, a team project, and a review of recent research in the field.",2
What are the interesting things I can do around Duke?,Duke,"Duke has a lot of interesting things to do. You can visit the Duke Gardens, which is a beautiful botanical garden. You can also visit the Nasher Museum of Art, which has a lot of interesting art exhibits. You can also visit the Duke Chapel, which is a beautiful church. You can also visit the Duke University campus, which has a lot of interesting buildings and gardens. You can also visit the Duke University Medical Center, which has a lot of interesting medical research and treatment facilities. You can also visit the Duke University Athletics facilities, which has a lot of interesting sports facilities. You can also visit the Duke University Libraries, which has a lot of interesting books and resources. You can also visit the Duke University Museum of Natural Sciences, which has a lot of interesting natural history exhibits. You can also visit the Duke University Marine Lab, which has a lot of interesting marine research and education facilities. You can also visit the Duke University School of Medicine, which has a lot of interesting medical education and research facilities. You can also visit the Duke University School of Nursing, which has a lot of interesting nursing education and research facilities. You can also visit the Duke",4,"Duke has a lot of interesting things to do. You can visit the Duke Gardens, which is a beautiful botanical garden. You can also visit the Nasher Museum of Art, which has a lot of interesting art exhibits. You can also visit the Duke Chapel, which is a beautiful church. You can also visit the Duke University campus, which has a lot of interesting buildings and gardens. You can also visit the Duke University Medical Center, which has a lot of interesting medical research and treatment facilities. You can also visit the Duke University Athletics facilities, which has a lot of interesting sports facilities. You can also visit the Duke University Libraries, which has a lot of interesting books and resources. You can also visit the Duke University Museum of Natural Sciences, which has a lot of interesting natural history exhibits. You can also visit the Duke University Marine Lab, which has a lot of interesting marine research and education facilities. You can also visit the Duke University School of Medicine, which has a lot of interesting medical education and research facilities. You can also visit the Duke University School of Nursing, which has a lot of interesting nursing education and research facilities. You can also visit the Duke",4
